format_id,ext,acodec,vcodec,height,resolution,filesize
sb3,mhtml,none,none,27.0,48x27,
sb2,mhtml,none,none,45.0,80x45,
sb1,mhtml,none,none,90.0,160x90,
sb0,mhtml,none,none,180.0,320x180,
233,mp4,,none,,audio only,
234,mp4,,none,,audio only,
249-drc,webm,opus,none,,audio only,4348010.0
250-drc,webm,opus,none,,audio only,5602492.0
139-drc,m4a,mp4a.40.5,none,,audio only,4575161.0
249,webm,opus,none,,audio only,4316304.0
250,webm,opus,none,,audio only,5579807.0
139,m4a,mp4a.40.5,none,,audio only,4575090.0
251-drc,webm,opus,none,,audio only,11307027.0
140-drc,m4a,mp4a.40.2,none,,audio only,12139594.0
251,webm,opus,none,,audio only,11272354.0
140,m4a,mp4a.40.2,none,,audio only,12139594.0
602,mp4,none,vp09.00.10.08,144.0,256x144,
394,mp4,none,av01.0.00M.08,144.0,256x144,8500077.0
278,webm,none,vp9,144.0,256x144,11698983.0
269,mp4,none,avc1.4D400C,144.0,256x144,
160,mp4,none,avc1.4D400C,144.0,256x144,10262703.0
603,mp4,none,vp09.00.11.08,144.0,256x144,
395,mp4,none,av01.0.00M.08,240.0,426x240,18953189.0
242,webm,none,vp9,240.0,426x240,25329012.0
229,mp4,none,avc1.4D4015,240.0,426x240,
133,mp4,none,avc1.4D4015,240.0,426x240,22610699.0
604,mp4,none,vp09.00.20.08,240.0,426x240,
396,mp4,none,av01.0.01M.08,360.0,640x360,40903468.0
18,mp4,mp4a.40.2,avc1.42001E,360.0,640x360,69114293.0
243,webm,none,vp9,360.0,640x360,39659085.0
230,mp4,none,avc1.4D401E,360.0,640x360,
134,mp4,none,avc1.4D401E,360.0,640x360,56969324.0
605,mp4,none,vp09.00.21.08,360.0,640x360,
397,mp4,none,av01.0.04M.08,480.0,854x480,82196765.0
244,webm,none,vp9,480.0,854x480,71317489.0
231,mp4,none,avc1.4D401F,480.0,854x480,
135,mp4,none,avc1.4D401F,480.0,854x480,99261049.0
606,mp4,none,vp09.00.30.08,480.0,854x480,
136,mp4,none,avc1.4d401f,720.0,1280x720,213423386.0
247,webm,none,vp9,720.0,1280x720,129205463.0
398,mp4,none,av01.0.08M.08,720.0,1280x720,290705672.0
302,webm,none,vp9,720.0,1280x720,276513824.0
311,mp4,none,avc1.4D4020,720.0,1280x720,
298,mp4,none,avc1.4D4020,720.0,1280x720,321659974.0
612,mp4,none,vp09.00.40.08,720.0,1280x720,
399,mp4,none,av01.0.09M.08,1080.0,1920x1080,484933593.0
303,webm,none,vp9,1080.0,1920x1080,413667448.0
312,mp4,none,avc1.64002A,1080.0,1920x1080,
299,mp4,none,avc1.64002A,1080.0,1920x1080,538359976.0
617,mp4,none,vp09.00.41.08,1080.0,1920x1080,
400,mp4,none,av01.0.12M.08,1440.0,2560x1440,1208387471.0
308,webm,none,vp9,1440.0,2560x1440,1034576409.0
623,mp4,none,vp09.00.50.08,1440.0,2560x1440,
401,mp4,none,av01.0.13M.08,2160.0,3840x2160,2227896857.0
315,webm,none,vp9,2160.0,3840x2160,1916221079.0
628,mp4,none,vp09.00.51.08,2160.0,3840x2160,
